orderID,empID,date,time,total,tip
1000001,4000,2022-01-01,11:01:17,11.25,0.11
1000002,2000,2022-01-01,11:13:28,45.45,5.91
1000003,3000,2022-01-01,11:14:39,24.25,0.24
1000004,1000,2022-01-01,11:38:08,11.5,1.38
1000005,1000,2022-01-01,11:46:41,5.75,0.52
1000006,1000,2022-01-01,11:51:30,4.5,0.27
1000007,3000,2022-01-01,11:55:21,25.0,1.5
1000008,2000,2022-01-01,11:57:39,13.75,0.69
1000009,3000,2022-01-01,12:01:41,21.0,0.42
1000010,2000,2022-01-01,12:56:42,6.75,0.54
1000011,1000,2022-01-01,12:57:27,30.45,0.91
1000012,2000,2022-01-01,13:09:02,13.75,0.28
1000013,4000,2022-01-01,13:14:14,5.25,0.47
1000014,4000,2022-01-01,13:25:26,6.5,0.91
1000015,3000,2022-01-01,13:29:48,15.75,1.73
1000016,3000,2022-01-01,13:39:03,9.5,0.57
1000017,3000,2022-01-01,13:47:00,13.0,1.04
1000018,4000,2022-01-01,14:40:46,5.0,0.7
1000019,3000,2022-01-01,14:43:08,11.25,1.46
1000020,4000,2022-01-01,14:45:48,5.5,0.66
1000021,1000,2022-01-01,14:58:04,3.25,0.16
1000022,3000,2022-01-01,15:12:13,6.0,0.36
1000023,1000,2022-01-01,15:13:44,11.5,0.12
1000024,3000,2022-01-01,15:20:46,13.0,0.91
1000025,2000,2022-01-01,15:37:02,3.5,0.28
1000026,4000,2022-01-01,15:37:43,10.0,0.4
1000027,4000,2022-01-01,16:01:05,25.25,0.51
1000028,1000,2022-01-01,16:44:20,3.75,0.04
1000029,4000,2022-01-01,16:49:49,6.0,0.6
1000030,1000,2022-01-01,16:50:19,4.5,0.63
1000031,2000,2022-01-01,17:10:59,20.25,2.43
1000032,1000,2022-01-01,17:18:35,5.5,0.82
1000033,4000,2022-01-01,17:21:00,3.75,0.22
1000034,4000,2022-01-01,17:49:29,22.0,0.44
1000035,3000,2022-01-01,18:01:57,8.5,0.17
1000036,2000,2022-01-01,18:12:18,9.25,0.74
1000037,2000,2022-01-01,18:13:15,16.75,2.51
1000038,3000,2022-01-01,18:23:57,7.75,1.09
1000039,1000,2022-01-01,18:25:21,15.75,1.89
